	B-cells_Memory B-cells_Memory B-cells	B-cells_Naive B-cells_Naive B-cells	CAFs_Inflammatory-CAFs_Inflammatory-CAFs 1	CAFs_Inflammatory-CAFs_Inflammatory-CAFs 2	CAFs_Myofibroblast-like CAFs_Myofibroblast-like CAFs 1	CAFs_Myofibroblast-like CAFs_Myofibroblast-like CAFs 2	CAFs_Myofibroblast-like CAFs_Transitioning CAFs	Endothelial_Lymphatic_endothelial_Lymphatic_endothelial	Endothelial_Pericyte-like endothelial cells_Pericyte-like endothelial cells	Endothelial_Stalk-like endothelial cells_Stalk-like endothelial cells	Endothelial_Tip-like endothelial cells_Tip-like endothelial cells	Epithelial_cancer_Her2_SC	Epithelial_cancer_LumB_SC	Epithelial_normal_Luminal Progenitors	Epithelial_normal_Mature Luminal	Epithelial_normal_Myoepithelial	Myeloid_Cycling_Cycling Myeloid	Myeloid_DCs_cDC1	Myeloid_DCs_cDC2	Myeloid_DCs_pDC	Myeloid_Macrophage_LAM 1	Myeloid_Macrophage_LAM 2	Myeloid_Macrophage_Macrophage 1	Myeloid_Macrophage_Macrophage 2	Myeloid_Monocyte_Monocyte 1	Myeloid_Monocyte_Monocyte 2	Plasmablasts_Plasmablasts_Plasmablasts	SMCs_Differeniated SMCs_Differeniated SMCs 2	SMCs_Differeniated SMCs_Differeniated SMCs 3	SMCs_Differeniated SMCs_Transitioning SMCs 1	SMCs_Immature SMCs_Immature SMCs 1	SMCs_Immature SMCs_Immature SMCs 2	T-cells_CD4+ T-cells_CD4+ T-cells 1	T-cells_CD4+ T-cells_CD4+ T-cells 2	T-cells_CD4+ T-cells_T-Regs	T-cells_CD4+ T-cells_Tfh cells	T-cells_CD8+ T-cells_CD8+ T-cells 1	T-cells_CD8+ T-cells_CD8+ T-cells 4	T-cells_CD8+ T-cells_CD8+ T-cells 5	T-cells_CD8+ T-cells_Exhausted CD8+ T-cells	T-cells_Cycling_Cycling T-cells	T-cells_NK cells_NK cells	T-cells_NKT_NKT
3961x6762	1.7765871e-10	0.005419923	1.7773666e-10	1.7752085e-10	1.778876e-10	0.0068320576	1.7771394e-10	1.7778888000000001e-10	1.7784178e-10	1.7779497e-10	0.005376028000000001	0.07485379	0.37640974	1.7845103e-10	0.38502398	1.780271e-10	0.017849616999999998	0.02010679	1.7816808e-10	0.022711586000000002	1.7859778e-10	1.7813033e-10	0.04426251	0.0037589436	1.7794188e-10	1.7765736e-10	0.0012917202	1.7782144e-10	1.7788285e-10	0.006599051	1.7821054e-10	0.0060838913	1.7804373e-10	1.7826289e-10	1.7779837e-10	1.7773057e-10	1.7839248e-10	0.002274105	0.0005877037	1.7775362e-10	0.013262423	1.7792662e-10	0.0072961203
3724x6899	2.0126964e-10	2.0136333e-10	0.0043126536	0.014685856	2.0134681000000001e-10	2.0088152e-10	2.0145091e-10	2.0100072e-10	2.0084356000000001e-10	0.0039315824	2.0097578e-10	0.14102235	0.38302267	0.033528800000000004	0.27990103	0.006997235	0.009870278	2.014244e-10	0.046740633	2.0125736e-10	2.0159506e-10	2.0129959e-10	2.0089799e-10	0.021610297	2.0166235e-10	2.0132108e-10	0.03265623	2.0157469e-10	2.0165121e-10	0.0038918958	2.0189751000000002e-10	2.0131224e-10	2.0136218e-10	2.012704e-10	2.0124852e-10	2.0121167e-10	2.0136065e-10	2.0089262e-10	2.0086197e-10	2.0168005e-10	0.0052420385	0.012586419	2.0108852e-10
3962x7035	1.2653656000000001e-10	1.2637254e-10	1.267426e-10	1.2668604e-10	1.2651386999999998e-10	1.2666793e-10	0.005613140799999999	1.2668942e-10	0.008144164	0.0021171384	0.0006319030000000001	0.08379733	0.39800608	0.012560242	0.39890376	0.0037018246999999996	1.2664303999999999e-10	0.024662477999999998	1.2676966e-10	1.2644077e-10	1.2647261e-10	1.2647985e-10	1.2662034e-10	0.02448526	1.2690418e-10	0.00195293	0.006749479	1.2638822e-10	1.2655274e-10	0.009610649	1.265648e-10	1.2629496e-10	1.2666188e-10	1.2669402e-10	1.2662298999999998e-10	0.011348773000000001	1.264157e-10	0.0077147577	1.2643162e-10	1.2671843000000001e-10	1.2673099e-10	1.264321e-10	1.2646248e-10
3725x7172	1.0722916000000001e-10	0.0023286129999999998	0.014717235	1.0763612e-10	0.015907606	1.0746483600000001e-10	1.0749886e-10	1.07139006e-10	0.02242003	1.07340074e-10	0.024596319	0.047120634	0.31470335	0.08159765	0.16032451	1.0737488999999999e-10	0.071984276	0.025155231	0.043696668	1.07261894e-10	0.0014453138	0.0058680475	1.072398e-10	0.02344162	0.00079794193	1.0767288000000001e-10	1.0733742e-10	1.0753701e-10	0.034923222000000004	1.073108e-10	0.014730038999999999	1.07178454e-10	1.0775485e-10	0.04752937	1.07242666e-10	0.007455321	0.009461556999999999	1.07612516e-10	1.0758153000000001e-10	1.0719828500000001e-10	0.015529542	1.072754e-10	0.014265940500000001
3963x7308	1.14632935e-10	1.14658526e-10	0.018142726	8.045703000000001e-05	1.14790254e-10	1.1498243000000001e-10	1.1489605e-10	0.0067541096	0.005847253	1.1480886e-10	8.530504999999999e-05	0.09672041	0.37495264	0.017864368999999998	0.31789255	1.1497848e-10	0.07176865	0.01277048	0.0033082326	0.0084247375	1.1511101e-10	0.010268641	1.1508314e-10	1.15158445e-10	1.15375876e-10	1.1495501000000001e-10	0.008410674	0.009606812	0.0055908323	1.1506798000000001e-10	1.1509718000000001e-10	1.15099597e-10	1.1527293999999998e-10	0.009608909	1.1475128000000001e-10	1.1476003500000001e-10	1.1519336e-10	0.0042271875	0.017675092	1.1508642e-10	1.1491773500000001e-10	1.1504033999999999e-10	1.1473618e-10
3726x7445	0.0029336709999999997	1.358736e-10	0.026725471	1.358109e-10	0.011391112	0.06664868	1.3551514e-10	1.3581944e-10	0.011494167	1.3531394e-10	1.3565401999999999e-10	0.09432945400000001	0.1516286	0.046929452999999996	0.09648224	0.025764847	0.034561347	0.013585008	0.077828944	0.005708181	0.08026758	0.019375905	1.3529433e-10	0.061977424	0.007374186	1.3569672e-10	1.351321e-10	1.3535395e-10	0.016360529	1.3526155e-10	1.355353e-10	1.350888e-10	1.3573088e-10	1.3549833e-10	0.037869400000000004	1.3521667e-10	0.010193235	0.0030130749	0.071473904	1.354942e-10	0.026083441000000002	1.3533795e-10	1.3549602e-10
3964x7581	1.2307586000000002e-10	1.2287625e-10	0.011116481000000001	0.008679175	1.2342471000000002e-10	0.00378202	1.2344262e-10	1.2300663e-10	0.0070634102	1.2322456e-10	0.0046160202	0.042251036	0.36940609999999996	0.038958627999999995	0.41831192	1.2285446e-10	0.0076964702000000005	0.012721922	1.2317966999999999e-10	0.0015331348	1.2334353999999999e-10	1.2321396999999998e-10	0.022273487999999998	1.2361887e-10	1.2355875e-10	0.009092167	0.017506879	0.004629983	1.2336493000000002e-10	1.2359763e-10	1.2317638999999998e-10	1.2299983e-10	1.2320668e-10	1.2317543999999999e-10	1.2286758e-10	0.0072005643	1.2288985e-10	0.0071684243	1.2292431000000002e-10	1.2293393000000002e-10	0.005992268	1.2285845e-10	1.2313527e-10
3727x7718	1.0949713999999999e-10	1.0961018999999999e-10	0.025035743	1.09885455e-10	0.028456077000000003	0.0038769871	1.0999617e-10	1.0976730600000001e-10	0.00424306	0.000100382225	0.006170478	0.100406155	0.28526485	0.06716038	0.15370277	0.004302875	0.01218765	0.037772696	1.0986325e-10	1.09618765e-10	0.09770243599999999	1.0993975e-10	1.0968924399999999e-10	0.036373157	1.1000918000000001e-10	1.099234e-10	0.0038188656	1.0985234e-10	0.00031847102000000005	1.09736116e-10	0.011503636000000001	1.0963194e-10	1.0957946399999999e-10	1.0971476999999999e-10	1.0976898600000001e-10	1.09545185e-10	1.101175e-10	0.032548167	0.024340793	1.0992528400000001e-10	0.047546893	1.0974763500000001e-10	0.01716754
3965x7854	1.0335095e-10	1.0325008e-10	0.026037604	1.0381781500000001e-10	0.0074053834999999995	1.0340005e-10	1.0344621e-10	1.0334326999999999e-10	1.0344049e-10	0.0045760265	0.0042624963	0.0063075502	0.36324814	0.008707169	0.32540736	0.0065761227	1.035074e-10	0.017254582	1.0369986999999999e-10	1.0358816999999999e-10	1.0351095e-10	0.04528296	1.0356288000000001e-10	0.068630435	1.035151e-10	1.0364785999999999e-10	0.007664491	0.0075829374	1.0367218000000001e-10	1.0368049e-10	0.009722693000000001	1.0350227e-10	1.03420765e-10	1.0342944e-10	1.0349200000000001e-10	1.0344227e-10	0.00370309	0.08763097	1.0342707e-10	1.0350601e-10	1.0324200500000001e-10	1.0343378000000001e-10	1.033896e-10
3727x7991	1.14926374e-10	1.1495903999999999e-10	0.014011195	0.022583287	1.1549243500000001e-10	0.011063835	1.1504961999999999e-10	1.1481528e-10	1.1530863999999999e-10	1.150244e-10	0.009467355	0.09461858	0.13879995	0.09114904	0.16352585	1.1492023e-10	1.1503953000000001e-10	0.026423517999999997	1.1536914499999999e-10	1.14701686e-10	1.1495772e-10	0.03038633	1.1511261999999999e-10	0.14369251	0.021598486	0.007357180600000001	1.1500421399999999e-10	1.1540083000000001e-10	0.0102665415	1.1497877e-10	0.008531659	1.1490073000000001e-10	1.1504546599999999e-10	1.1515743000000001e-10	0.0029360445000000002	1.1515348e-10	0.0058782784999999995	0.13333105	1.1517214e-10	1.14840255e-10	1.1510406999999999e-10	1.149279e-10	0.06437928
